名前,ふりがな,加入日,卒業日,加入期,誕生日,年齢,出身地,都道府県番号,身長,Nobody's fault,ブルームンキス,最終の地下鉄に乗って,なぜ恋をして来なかったんだろう？,Plastic regret,Buddies,半信半疑,BAN,君と僕と洗濯物,偶然の答え,Microscope,思ったよりも寂しくない,それが愛なのね,櫻坂の詩,流れ弾,美しきNervous,Dead end,ソニア,ジャマイカビール,On my way,無言の宇宙,五月雨よ,僕のジレンマ,I'm in,断絶,制服の人魚,車間距離,恋が絶滅する日,摩擦係数,条件反射で泣けてくる,One-way stairs,タイムマシンでYeah!,ずっと 春だったらなあ,桜月,Cool,無念,もしかしたら真実,魂のLiar,夏の近道,その日まで,Start over!,静寂の暴力,風の音,コンビナート,Anthem time,一瞬の馬,ドローン旋回中,承認欲求,マモリビト,確信的クロワッサン,僕たちの La vie en rose,Don't cut in line!,マンホールの蓋の上,隙間風よ,君がサヨナラ言えたって・・・,何歳の頃に戻りたいのか？,油を注せ！,何度　LOVE SONGの歌詞を読み返しただろう,真夏に何か起きるのかしら,心の影絵,恋は向いてない,泣かせて　Hold me tight！
名前,ふりがな,加入日,卒業日,加入期,誕生日,年齢,出身地,都道府県番号,身長,Nobodys_fault,ブルームンキス,最終の地下鉄に乗って,なぜ恋をして来なかったんだろう,Plastic_regret,Buddies,半信半疑,BAN,君と僕と洗濯物,偶然の答え,Microscope,思ったよりも寂しくない,それが愛なのね,櫻坂の詩,流れ弾,美しきNervous,Dead_end,ソニア,ジャマイカビール,On_my_way,無言の宇宙,五月雨よ,僕のジレンマ,Im_in,断絶,制服の人魚,車間距離,恋が絶滅する日,摩擦係数,条件反射で泣けてくる,One-way_stairs,タイムマシンでYeah,ずっと_春だったらなあ,桜月,Cool,無念,もしかしたら真実,魂のLiar,夏の近道,その日まで,Start_over,静寂の暴力,風の音,コンビナート,Anthem_time,一瞬の馬,ドローン旋回中,承認欲求,マモリビト,確信的クロワッサン,僕たちの_La_vie_en_rose,Dont_cut_in_line,マンホールの蓋の上,隙間風よ,君がサヨナラ言えたって,何歳の頃に戻りたいのか,油を注せ,何度_LOVE_SONGの歌詞を読み返しただろう,真夏に何か起きるのかしら,心の影絵,恋は向いてない,泣かせて_Hold_me_tight
上村 莉菜,うえむらりな,2015/8/21,,1期,1997/1/4,,千葉県,12,153.5,,,,,,Ⅲ,Ⅲ,,,Ⅲ,Ⅲ,,,〇,,,,Ⅲ,,,Ⅲ,Ⅲ,Ⅲ,Ⅱ,,,,Ⅲ,Ⅲ,,,Ⅱ,,,Ⅲ,〇,,〇,,〇,Ⅲ,,〇,,,Ⅲ,Ⅲ,,,Ⅱ,,,,〇,,,,〇,,,,
小池 美波,こいけみなみ,2015/8/21,,1期,1998/11/14,,兵庫県,28,158.5,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,〇,Ⅲ,Ⅲ,,C,,,,Ⅱ,Ⅱ,,Ⅱ,,Ⅱ,Ⅱ,Ⅱ,Ⅱ,,Ⅱ,,Ⅰ,Ⅰ,,〇,〇,,〇,Ⅱ,,C,,,Ⅱ,Ⅱ,Ⅲ,,,〇,,〇,〇,休養,休養,休養,休養,休養,休養,休養,休養
齋藤 冬優花,さいとうふゆか,2015/8/21,,1期,1998/2/15,,東京都,13,158,,,,,,Ⅲ,Ⅲ,,,,,Ⅲ,Ⅲ,〇,,,Ⅲ,Ⅱ,,,,,Ⅲ,Ⅲ,,,Ⅲ,,,Ⅲ,,Ⅱ,,,Ⅲ,〇,,〇,,〇,Ⅲ,,〇,,,Ⅲ,Ⅲ,,,Ⅱ,,,,〇,,,,〇,,,,
井上 梨名,いのうえりな,2018/11/29,,2期,2001/1/29,,兵庫県,28,163,,,,Ⅲ,Ⅲ,,,Ⅲ,Ⅲ,,,,,〇,,,Ⅲ,Ⅱ,,〇,,Ⅲ,Ⅲ,Ⅱ,,,,Ⅲ,Ⅲ,,,,,Ⅲ,,〇,〇,〇,,〇,Ⅲ,,,Ⅱ,,Ⅲ,Ⅲ,,,C,,,,〇,,Ⅲ,,,,,,〇
遠藤 光莉,えんどうひかり,2020/2/16,,2期,1999/4/17,,神奈川県,14,163.3,,,,,,Ⅲ,Ⅲ,,,,,Ⅲ,Ⅲ,〇,,,Ⅲ,Ⅱ,〇,,,,Ⅲ,Ⅲ,,,Ⅲ,,,Ⅲ,,,,,Ⅲ,〇,,〇,,〇,休養,休養,休養,休養,休養,休養,休養,休養,休養,休養,休養,休養,休養,休養,,,,〇,,,,
大園 玲,おおぞのれい,2020/2/16,,2期,2000/4/18,,鹿児島県,46,163,Ⅲ,Ⅲ,Ⅲ,,,,,Ⅲ,Ⅲ,,,,,〇,Ⅲ,Ⅲ,,Ⅰ,,,,Ⅲ,Ⅱ,Ⅰ,,,,Ⅲ,Ⅲ,,,,〇,Ⅱ,C,,〇,〇,,〇,Ⅲ,,,Ⅱ,,Ⅲ,Ⅲ,Ⅱ,,,,,〇,〇,,Ⅲ,,,,,,〇
大沼 晶保,おおぬまあきほ,2020/2/16,,2期,1999/10/12,,静岡県,22,161,,,,,,Ⅲ,Ⅲ,,,,,Ⅲ,Ⅲ,〇,,,Ⅲ,Ⅱ,,,,,Ⅲ,Ⅲ,,,Ⅲ,,,Ⅲ,,,,,Ⅲ,〇,,〇,,〇,Ⅲ,,,Ⅰ,,Ⅲ,Ⅲ,,,Ⅲ,,,,〇,,,,〇,,,,
幸阪 茉里乃,こうさかまりの,2020/2/16,,2期,2002/12/19,,三重県,24,154.5,,,,Ⅲ,Ⅲ,,,,,,,Ⅲ,Ⅲ,〇,,,,Ⅲ,,,Ⅲ,,Ⅲ,Ⅲ,,,Ⅲ,,,Ⅲ,,,,,Ⅲ,〇,,〇,,〇,Ⅲ,,,Ⅱ,,Ⅲ,Ⅲ,,,Ⅲ,,,,〇,,,,〇,,,,
武元 唯衣,たけもとゆい,2018/11/29,,2期,2002/3/23,,滋賀県,25,158.5,Ⅲ,Ⅲ,Ⅲ,,,,,,,Ⅲ,Ⅲ,,,〇,Ⅲ,Ⅲ,,Ⅱ,,,,Ⅲ,Ⅲ,Ⅱ,,〇,,Ⅲ,Ⅲ,,,,,Ⅲ,,〇,〇,〇,,〇,Ⅲ,,,Ⅱ,,Ⅲ,Ⅲ,Ⅲ,,,〇,,〇,〇,,,,C,,,,
